days,neutral,neutral_fin,positive,positive_fin,negative,negative_fin
-5,.5727815,.0077731,.5764042,.008726,.5783108,.0075608
-4,.5648386,.0089081,.5810657,.0079647,.5817113,.0066766
-3,.5822306,.0085256,.5720221,.008538,.5836514,.0091612
-2,.5690852,.0074151,.5779698,.008651,.5892042,.0097216
-1,.5708283,.0077615,.5855681,.0102826,.5880392,.0115382
0,.6002334,.0196323,.6346906,.0377342,.6193102,.0288028
1,.5743504,.009366,.5991431,.0164455,.6010298,.0197624
2,.587159,.0085283,.5892022,.0119556,.5940919,.0163445
3,.5876913,.0073574,.5843968,.0095067,.5901212,.0143784
4,.5822067,.0075165,.5781006,.0097761,.5820045,.0105904
5,.5879721,.0077953,.5792769,.0104,.584654,.0099846
